Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Bad Boys for Life,"$424,617,855","$204,417,855",48.1%,"$220,200,000",51.9%
2,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
3,Dolittle,"$245,885,606","$77,047,065",31.3%,"$168,838,541",68.7%
4,Harley Quinn: Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
5,The Invisible Man,"$130,597,178","$64,914,050",49.7%,"$65,683,128",50.3%
6,Onward,"$117,057,698","$61,555,145",52.6%,"$55,502,553",47.4%
7,The Eight Hundred,"$116,000,000",-,-,"$116,000,000",100%
8,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
9,Tenet,"$53,000,000",-,-,"$53,000,000",100%
10,Fantasy Island,"$47,315,959","$26,441,782",55.9%,"$20,874,177",44.1%
11,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
12,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
13,Peninsula,"$32,804,233","$649,302",2%,"$32,154,931",98%
14,Bloodshot,"$30,855,118","$10,021,787",32.5%,"$20,833,331",67.5%
15,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
16,Emma.,"$25,763,591","$10,055,355",39%,"$15,708,236",61%
17,Gretel & Hansel,"$21,791,052","$15,347,654",70.4%,"$6,443,398",29.6%
18,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
19,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
20,The Turning,"$18,594,352","$15,472,775",83.2%,"$3,121,577",16.8%
21,Unhinged,"$16,838,200","$8,838,200",52.5%,"$8,000,000",47.5%
22,Baaghi 3,"$16,723,987","$721,439",4.3%,"$16,002,548",95.7%
23,Scoob!,"$16,500,000",-,-,"$16,500,000",100%
24,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
25,I Still Believe,"$13,613,945","$9,868,521",72.5%,"$3,745,424",27.5%
26,Trolls World Tour,"$12,436,439",-,-,"$12,436,439",100%
27,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
28,The Personal History of David Copperfield,"$10,433,823","$520,000",5%,"$9,913,823",95%
29,The Hunt,"$10,347,274","$5,812,500",56.2%,"$4,534,774",43.8%
30,My Spy,"$10,200,000",-,-,"$10,200,000",100%
31,Greenland,"$10,200,000",-,-,"$10,200,000",100%
32,The New Mutants,"$9,900,000","$7,000,000",70.7%,"$2,900,000",29.3%
33,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$9,077,487",-,-,"$9,077,487",100%
34,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
35,Malang,"$8,396,045",-,-,"$8,396,045",100%
36,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
37,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
38,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
39,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
40,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
41,Military Wives,"$4,066,280",-,-,"$4,066,280",100%
42,Digimon Adventure: Last Evolution Kizuna,"$3,966,107",-,-,"$3,966,107",100%
43,The Wretched,"$3,584,518","$1,811,162",50.5%,"$1,773,356",49.5%
44,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
45,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
46,Samsam,"$3,159,616",-,-,"$3,159,616",100%
47,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
48,The Rental,"$2,033,247","$1,538,209",75.7%,"$495,038",24.3%
49,The SpongeBob Movie: Sponge on the Run,"$2,019,824","$2,019,824",100%,-,-
50,The King of Staten Island,"$1,987,148",-,-,"$1,987,148",100%
51,Jurassic Park 2020 Re-release,"$1,738,333","$1,386,600",79.8%,"$351,733",20.2%
52,The High Note,"$1,576,176",-,-,"$1,576,176",100%
53,Greed,"$1,459,395","$355,308",24.3%,"$1,104,087",75.7%
54,The Secret: Dare to Dream,"$1,404,967",-,-,"$1,404,967",100%
55,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$1,368,047","$1,015,000",74.2%,"$353,047",25.8%
56,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
57,National Theater Live: Cyrano de Bergerac,"$1,365,203","$198,352",14.5%,"$1,166,851",85.5%
58,The Assistant,"$1,308,864","$1,100,313",84.1%,"$208,551",15.9%
59,Relic,"$1,279,486","$1,045,044",81.7%,"$234,442",18.3%
60,Words on Bathroom Walls,"$1,083,605","$1,083,605",100%,-,-
61,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
62,The Outpost,"$1,049,275",-,-,"$1,049,275",100%
63,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
64,Becky,"$1,021,610","$1,003,700",98.2%,"$17,910",1.8%
65,Made in Italy,"$968,251","$91,156",9.4%,"$877,095",90.6%
66,Riverdance 25th Anniversary Show,"$919,732","$81,879",8.9%,"$837,853",91.1%
67,Mafia Inc,"$889,863","$889,863",100%,-,-
68,The Tax Collector,"$873,485","$873,485",100%,-,-
69,Misbehaviour,"$798,805",-,-,"$798,805",100%
70,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
71,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
72,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.4%,"$15,883",2.6%
73,The Perfect Candidate,"$615,658",-,-,"$615,658",100%
74,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
75,Black Water: Abyss,"$582,630",-,-,"$582,630",100%
76,Beauty and the Beast 2020 Re-release,"$542,921","$467,000",86%,"$75,921",14%
77,Followed,"$538,179","$538,179",100%,-,-
78,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
79,Once Were Brothers: Robbie Robertson and the Band,"$490,702","$449,561",91.6%,"$41,141",8.4%
80,The Burnt Orange Heresy,"$471,070","$137,676",29.2%,"$333,394",70.8%
81,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
82,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
83,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
84,Babyteeth,"$437,050","$4,507",1%,"$432,543",99%
85,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
86,Infamous,"$429,148","$429,148",100%,-,-
87,The Climb,"$413,161",-,-,"$413,161",100%
88,Back to the Future 2020 Re-release,"$406,408","$247,000",60.8%,"$159,408",39.2%
89,Black Panther 2020 Re-release,"$367,677","$367,000",99.8%,$677,0.2%
90,Cut Throat City,"$346,215","$345,872",99.9%,$343,<0.1%
91,Burden,"$327,838","$139,270",42.5%,"$188,568",57.5%
92,Palm Springs,"$298,345","$164,000",55%,"$134,345",45%
93,Gremlins 2020 Re-release,"$295,000","$295,000",100%,-,-
94,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
95,Resistance,"$279,867","$7,464",2.7%,"$272,403",97.3%
96,Hope Gap,"$277,364","$104,732",37.8%,"$172,632",62.2%
97,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
98,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
99,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
100,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
101,The Trip to Greece,"$233,014","$8,340",3.6%,"$224,674",96.4%
102,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
103,Archive,"$222,047","$139,593",62.9%,"$82,454",37.1%
104,Summerland,"$215,433","$55,891",25.9%,"$159,542",74.1%
105,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
106,Cruel Peter,"$163,925",-,-,"$163,925",100%
107,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
108,The Booksellers,"$144,893","$25,694",17.7%,"$119,199",82.3%
109,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
110,Incitement,"$140,306","$140,306",100%,-,-
111,We Summon the Darkness,"$140,105","$60,794",43.4%,"$79,311",56.6%
112,Most Wanted,"$138,000","$138,000",100%,-,-
113,Beneath Us,"$137,260","$137,260",100%,-,-
114,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
115,Fatima,"$126,309",-,-,"$126,309",100%
116,Only,"$125,603",-,-,"$125,603",100%
117,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
118,Come to Daddy,"$116,930","$96,713",82.7%,"$20,217",17.3%
119,Tulsa,"$113,283","$113,283",100%,-,-
120,Irresistible,"$106,326",-,-,"$106,326",100%
121,Lucky Grandma,"$102,000","$102,000",100%,-,-
122,First Cow,"$101,068","$101,068",100%,-,-
123,The Silencing,"$100,746","$100,746",100%,-,-
124,Never Rarely Sometimes Always,"$93,969","$16,565",17.6%,"$77,404",82.4%
125,First Lady,"$93,298","$93,298",100%,-,-
126,Miss Juneteenth,"$92,349","$92,349",100%,-,-
127,Young Ahmed Domestic,"$83,470","$21,291",25.5%,"$62,179",74.5%
128,Shirley,"$75,078",-,-,"$75,078",100%
129,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
130,How to Build a Girl,"$70,632","$70,632",100%,-,-
131,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
132,Tesla,"$63,931","$60,591",94.8%,"$3,340",5.2%
133,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
134,A Simple Wedding,"$54,415","$54,415",100%,-,-
135,Miss Fisher and the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
136,VHYes,"$47,037","$47,037",100%,-,-
137,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
138,House of Cardin,"$44,589",-,-,"$44,589",100%
139,Juvenile Delinquents,"$44,507","$39,344",88.4%,"$5,163",11.6%
140,Spree,"$43,062","$28,771",66.8%,"$14,291",33.2%
141,Three Christs,"$36,723","$36,723",100%,-,-
142,Tread,"$36,527","$36,527",100%,-,-
143,Waiting for Anya,"$36,404",-,-,"$36,404",100%
144,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
145,After Parkland,"$30,444","$30,444",100%,-,-
146,Olympic Dreams,"$29,450","$29,450",100%,-,-
147,Buffaloed,"$29,118","$29,118",100%,-,-
148,Abe,"$28,657",-,-,"$28,657",100%
149,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
150,José,"$26,563","$26,563",100%,-,-
151,Unsubscribe,"$25,488","$25,488",100%,-,-
152,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
153,Stage Mother,"$24,736",-,-,"$24,736",100%
154,Heart of Africa,"$24,139","$24,139",100%,-,-
155,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
156,Premature,"$23,071","$23,071",100%,-,-
157,L'Innocente,"$22,549","$22,549",100%,-,-
158,Never Too Late,"$21,915",-,-,"$21,915",100%
159,Lore,"$20,006","$20,006",100%,-,-
160,Sputnik,"$17,696","$17,696",100%,-,-
161,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
162,Made in Hong Kong,"$17,255","$17,255",100%,-,-
163,Advocate,"$16,942","$16,942",100%,-,-
164,Straight Up,"$16,080","$16,080",100%,-,-
165,American Deep State,"$15,269","$15,269",100%,-,-
166,"I Was at Home, But...","$14,078","$14,078",100%,-,-
167,Powerbomb,"$11,319","$11,319",100%,-,-
168,Lost in America,"$11,301","$11,301",100%,-,-
169,The Grizzlies,"$10,933","$10,933",100%,-,-
170,You Go to My Head,"$10,682","$10,682",100%,-,-
171,Foosballers,"$9,966","$9,966",100%,-,-
172,Killer Raccoons! 2! Dark Christmas in the Dark!,"$9,528","$9,528",100%,-,-
173,Just One More Kiss,"$9,130","$9,130",100%,-,-
174,The Bay of Silence,"$8,147","$1,941",23.8%,"$6,206",76.2%
175,Inside the Rain,"$8,140","$8,140",100%,-,-
176,The Wave,"$8,101","$8,101",100%,-,-
177,I AM PATRICK,"$7,880",-,-,"$7,880",100%
178,Valley Girl,"$7,671",-,-,"$7,671",100%
179,Guest Artist,"$7,296","$7,296",100%,-,-
180,What We Found,"$6,976","$6,976",100%,-,-
181,The Other Lamb,"$6,760","$6,024",89.1%,$736,10.9%
182,Human Capital,"$6,596","$6,596",100%,-,-
183,Afterward,"$6,477","$6,477",100%,-,-
184,King's Gambit,"$3,816","$3,816",100%,-,-
185,The Roads Not Taken,"$3,518","$3,518",100%,-,-
186,Sex and the Future,"$3,101","$3,101",100%,-,-
187,In the Life of Music,"$2,640","$2,640",100%,-,-
188,Moondance,"$2,371","$2,371",100%,-,-
189,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
190,Goldie,"$2,302","$2,302",100%,-,-
191,Gul Makai,"$2,035",-,-,"$2,035",100%
192,The Fox Hunter,"$1,577","$1,577",100%,-,-
193,Hai Tang Hong,"$1,107","$1,107",100%,-,-
194,The Transcendents,"$1,090","$1,090",100%,-,-
195,Spaceship Earth,$168,-,-,$168,100%
